Product ID,Brand Name,Category of Product,Product Name,Product Size,Product Rating,Number of reviews,Number of people liked product,Price,Kind of Marketing Flag,Options of Products
2218774,Acqua Di Parma,Fragrance,Blu Mediterraneo MINIATURE Set,5 x 0.16oz/5mL,4.0,4,3002,66.0,online only,no options
2044816,Acqua Di Parma,Cologne,Colonia,0.7 oz/ 20 mL,4.5,76,2700,66.0,online only, - 0.7 oz/ 20 mL  Spray  - 1.7 oz/ 50 mL Eau de Cologne Spray - 3.4 oz/ 101 mL Eau de Cologne Spray
1417567,Acqua Di Parma,Perfume,Arancia di Capri,5 oz/ 148 mL,4.5,26,2600,180.0,online only, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray - 5 oz/ 148 mL Eau de Toilette Spray 
1417617,Acqua Di Parma,Perfume,Mirto di Panarea,2.5 oz/ 74 mL,4.5,23,2900,120.0,online only, - 1 oz/ 30 mL Eau de Toilette Spray - 2.5 oz/ 74 mL Eau de Toilette Spray  - 5 oz/ 148 mL Eau de Toilette Spray
2218766,Acqua Di Parma,Fragrance,Colonia Miniature Set,5 x 0.16oz/5mL,3.5,2,943,72.0,online only,no options
1417609,Acqua Di Parma,Perfume,Fico di Amalfi,5 oz/ 148 mL,4.5,79,2600,180.0,online only, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray - 5 oz/ 148 mL Eau de Toilette Spray 
1638832,Acqua Di Parma,Perfume,Rosa Nobile,3.4 oz/ 101 mL,4.5,79,5000,210.0,online only," - 0.7 oz, 20 mL Eau de Parfum Spray - 1.7 oz/ 50 mL Eau de Parfum Spray - 3.4 oz/ 101 mL Eau de Parfum Spray "
1284462,Acqua Di Parma,Cologne,Colonia Essenza,1.7 oz/ 50 mL,5.0,13,719,120.0,online only, - 1.7 oz/ 50 mL Eau de Cologne Spray  - 3.4 oz/ 101 mL Eau de Cologne Spray
2221588,Acqua Di Parma,Body Mist & Hair Mist,Peonia Nobile Hair Mist,1.7oz/50mL,4.0,5,800,58.0,online only, - 1.7oz/50mL  Hair Mist  - 0.70oz/20mL Eau de Parfum Spray
2221596,Acqua Di Parma,Perfume,Rosa Nobile Hair Mist,1.7oz/50mL,3.0,5,2100,58.0,exclusive · online only, - 1.7oz/50mL  Hair Mist 
2243699,Acqua Di Parma,Perfume,Cipresso di Toscana,2.5 oz / 75 mL,3.5,3,87,120.0,online only, - 1 oz / 30 mL Eau de Toilette Spray - 2.5 oz / 75 mL Eau de Toilette Spray 
1417633,Acqua Di Parma,Perfume,Bergamotto di Calabria,2.5 oz/ 74 mL,4.5,16,1900,120.0,0, - 1 oz/ 30 mL Eau de Toilette Spray - 2.5 oz/ 74 mL Eau de Toilette Spray 
1886621,Acqua Di Parma,Perfume,Peonia Nobile,1.7 oz/ 50 mL,4.5,19,2300,142.0,online only, - 0.70oz/20mL Eau de Parfum Spray - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 100 mL Eau de Parfum Spray
1417575,Acqua Di Parma,Perfume,Mandorlo di Sicilia,2.5 oz/ 74 mL,4.5,44,2900,120.0,online only, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray  - 5 oz/ 148 mL Eau de Toilette Spray
2339661,Acqua Di Parma,Perfume,Camelia Eau de Parfum,3.4 oz/ 100 mL,0.0,0,143,275.0,online only, - 0.68 oz/ 20 mL Eau de Parfum Spray - 3.4 oz/ 100 mL Eau de Parfum Spray 
2295228,Acqua Di Parma,Fragrance,Blu Mediterraneo Discovery Collection Rollerball Set,no size,4.0,1,594,80.0,limited edition · exclusive · online only,no options
2044725,Acqua Di Parma,Perfume,Chinotto di Liguria,2.5 oz/ 75 mL,4.5,6,306,120.0,online only, - 2.5 oz/ 75 mL Eau de Toilette Spray  - 5 oz/ 150 mL Eau de Toilette Spray
2222917,Acqua Di Parma,Body Lotions & Body Oils,Fico di Amalfi Spray Body Lotion,5 oz/150 mL,3.0,2,420,55.0,online only,no options
967224,Acqua Di Parma,Body Sprays & Deodorant,Colonia Alcohol-Free Deodorant,2.7 oz/ 77 g,3.5,7,400,50.0,online only,no options
1059500,Acqua Di Parma,Cologne,Colonia Intensa,1.7 oz/ 50 mL,4.0,20,584,120.0,online only, - 1.7 oz/ 50 mL Eau de Cologne Spray 
2295210,Acqua Di Parma,Perfume Gift Sets,Blu Mediterraneo Fico di Amalfi Gift Set,no size,5.0,1,211,113.0,limited edition · online only,no options
2243715,Acqua Di Parma,Perfume,Blu Mediterraneo Cipresso di Toscana Travel Spray,1 oz / 30 mL,5.0,1,250,70.0,online only, - 1 oz / 30 mL Eau de Toilette Spray 
1979608,Acqua Di Parma,Perfume,Colonia Pura,1.7 oz/ 50 mL,4.5,5,396,120.0,online only, - 1.7 oz/ 50 mL Eau de Cologne Spray  - 3.4 oz/ 100 mL Eau de Cologne Spray
2222909,Acqua Di Parma,Body Lotions & Body Oils,Arancia di Capri Spray Body Lotion,5 oz/150 mL,3.0,2,444,55.0,online only,no options
1226885,Acqua Di Parma,Perfume,Magnolia Nobile,1.7 oz/ 50 mL,4.5,34,1900,142.0,online only, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 101 mL Eau de Parfum Spray
