ID,gender,Partner,ServiceForPhone,2ormoreLines,ServiceforInternet,Security,ProtectionforDevice,Support,UseType,MonthlyofCharges,TotalofCharges
9,Male,No,Yes,No,DSL,Yes,No,No,One year,56.15,3487.95
10,Male,Yes,Yes,No,DSL,Yes,No,No,Month-to-month,49.95,587.45
11,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,18.95,326.8
12,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,One year,100.35,5681.1
13,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,103.7,5036.3
14,Male,No,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,105.5,2686.05
15,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,113.25,7895.15
27,Male,Yes,No,No phone service,DSL,No,No,No,Month-to-month,30.2,30.2
28,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,90.25,6369.45
29,Female,No,Yes,No,DSL,No,No,No,Month-to-month,64.7,1093.1
30,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,96.35,6766.95
31,Male,Yes,Yes,No,Fiber optic,No,Yes,No,Month-to-month,95.5,181.65
32,Female,Yes,Yes,No,DSL,Yes,Yes,Yes,One year,66.15,1874.45
33,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.2,20.2
34,Male,No,Yes,No,DSL,No,No,No,Month-to-month,45.25,45.25
35,Female,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,99.9,7251.7
36,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,69.7,316.9
37,Female,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,74.8,3548.3
38,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,106.35,3549.25
39,Female,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,97.85,1105.4
40,Male,Yes,Yes,No,DSL,No,No,No,One year,49.55,475.7
41,Female,Yes,Yes,Yes,DSL,Yes,No,No,Two year,69.2,4872.35
42,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,20.75,418.25
43,Female,No,Yes,Yes,DSL,Yes,Yes,Yes,Two year,79.85,4861.45
44,Female,Yes,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,76.2,981.45
45,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,84.5,3906.7
46,Male,No,Yes,No,DSL,No,No,No,Month-to-month,49.25,97
47,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,80.65,144.15
48,Male,No,Yes,Yes,DSL,Yes,No,Yes,Two year,79.75,4217.8
49,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,64.15,4254.1
50,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,90.25,3838.75
51,Female,No,Yes,No,Fiber optic,Yes,No,No,Month-to-month,99.1,1426.4
52,Female,Yes,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,69.5,1752.65
53,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,80.65,633.3
54,Female,Yes,Yes,No,DSL,Yes,Yes,Yes,One year,74.85,4456.35
55,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,95.45,1752.55
56,Female,Yes,Yes,Yes,Fiber optic,Yes,No,No,One year,99.65,6311.2
57,Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,One year,108.45,7076.35
58,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,24.95,894.3
59,Female,No,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,107.5,7853.7
60,Female,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,100.5,4707.1
61,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,89.9,5450.7
62,Male,Yes,No,No phone service,DSL,Yes,Yes,No,Two year,42.1,2962
63,Female,Yes,Yes,No,DSL,No,Yes,Yes,One year,54.4,957.1
64,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,94.4,857.25
65,Female,No,Yes,No,DSL,No,No,Yes,Month-to-month,75.3,244.1
66,Male,Yes,Yes,Yes,Fiber optic,No,No,No,One year,78.9,3650.35
67,Female,No,Yes,No,DSL,No,Yes,Yes,Two year,79.2,2497.2
